step,timestamp,reward,balance,realized_pnl,unrealized_pnl,position,action,trade_pnl
34,2024-09-26 02:50:00,-0.503723722885942,99708.67085113359,-291.32914886640884,-25.186186144297103,1,1,0.0
35,2024-09-26 02:55:00,-0.7618721961564165,99689.62404622968,-310.37595377031926,-9.96896240462297,-1,0,-19.046804903910413
36,2024-09-26 03:00:00,-0.43203758705401796,99689.62404622968,-310.37595377031926,-21.601879352700898,-1,0,0.0
37,2024-09-26 03:05:00,-0.2709664293114922,99689.62404622968,-310.37595377031926,-13.54832146557461,-1,0,0.0
38,2024-09-26 03:10:00,-0.7183863119301492,99689.62404622968,-310.37595377031926,-35.91931559650746,-1,0,0.0
39,2024-09-26 03:15:00,-0.968941446196168,99689.62404622968,-310.37595377031926,-48.4470723098084,-1,0,0.0
40,2024-09-26 03:20:00,-0.84366387906296,99689.62404622968,-310.37595377031926,-42.183193953148,-1,0,0.0
41,2024-09-26 03:25:00,-0.5931087447969412,99689.62404622968,-310.37595377031926,-29.65543723984706,-1,0,0.0
42,2024-09-26 03:30:00,-0.5394183588823686,99689.62404622968,-310.37595377031926,-26.970917944118426,-1,0,0.0
43,2024-09-26 03:35:00,-0.32465681522566747,99689.62404622968,-310.37595377031926,-16.232840761283374,-1,0,0.0
44,2024-09-26 03:40:00,-0.18148245278760183,99689.62404622968,-310.37595377031926,-9.074122639380091,-1,0,0.0
45,2024-09-26 03:45:00,-0.04577642303030913,99688.47963565393,-311.520364346077,-9.968847963565393,1,1,-1.1444105757577283
46,2024-09-26 03:50:00,-0.23517688731670044,99688.47963565393,-311.520364346077,-11.758844365835023,1,1,0.0
47,2024-09-26 03:55:00,0.08702246509342282,99688.47963565393,-311.520364346077,4.3511232546711405,1,1,0.0
48,2024-09-26 04:00:00,-0.29635896434661413,99681.07066154527,-318.9293384547423,-9.968107066154527,-1,0,-7.408974108665353
49,2024-09-26 04:05:00,-0.002501914518741941,99681.07066154527,-318.9293384547423,-0.12509572593709706,-1,0,0.0
50,2024-09-26 04:10:00,-0.4036887396383041,99670.97844305431,-329.0215569456999,-9.96709784430543,1,1,-10.092218490957602
51,2024-09-26 04:15:00,0.10489581476264,99670.97844305431,-329.0215569456999,5.244790738132,1,1,0.0
52,2024-09-26 04:20:00,0.06299652475396697,99670.97844305431,-329.0215569456999,3.4551567872651887,1,1,0.0
53,2024-09-26 04:25:00,-0.3321095307990049,99662.67570478433,-337.324295215675,-9.966267570478433,-1,0,-8.302738269975123
54,2024-09-26 04:30:00,-0.020397746912271267,99662.67570478433,-337.324295215675,-1.0198873456135633,-1,0,0.0
