step,timestamp,reward,balance,realized_pnl,unrealized_pnl,position,action,trade_pnl,trade_fee
28,2024-09-26 02:20:00,-9.21228617517466,99831.78973951227,-168.21026048772427,-9.983178973951228,-1,0,-9.21228617517466,19.969276104130383
29,2024-09-26 02:25:00,-22.53049072862814,99831.78973951227,-168.21026048772427,-22.53049072862814,-1,0,0.0,0.0
30,2024-09-26 02:30:00,-28.8041466059666,99831.78973951227,-168.21026048772427,-28.8041466059666,-1,0,0.0,0.0
31,2024-09-26 02:35:00,-39.685533854247595,99792.10420565802,-207.89579434197185,-9.979210420565803,1,1,-39.685533854247595,19.968329668321047
32,2024-09-26 02:40:00,-31.601400277258076,99760.50280538076,-239.49719461922993,-9.976050280538077,-1,0,-31.601400277258076,19.957256426746554
33,2024-09-26 02:45:00,-23.408913610365445,99760.50280538076,-239.49719461922993,-23.408913610365445,-1,0,0.0,0.0
34,2024-09-26 02:50:00,-9.204735268127983,99751.29807011264,-248.70192988735792,-9.975129807011264,1,1,-9.204735268127983,19.951025932009763
35,2024-09-26 02:55:00,0.0,99751.29807011264,-248.70192988735792,6.144555302226941,1,1,0.0,0.0
36,2024-09-26 03:00:00,7.808644128333388,99759.10671424097,-240.89328575902454,-9.975910671424097,-1,0,7.808644128333388,19.953035782013565
37,2024-09-26 03:05:00,-1.9176798610756318,99759.10671424097,-240.89328575902454,-1.9176798610756318,-1,0,0.0,0.0
38,2024-09-26 03:10:00,-34.27899758008271,99724.82771666089,-275.17228333910725,-9.97248277166609,1,1,-34.27899758008271,19.953253917214482
39,2024-09-26 03:15:00,0.0,99724.82771666089,-275.17228333910725,2.5564364812668305,1,1,0.0,0.0
40,2024-09-26 03:20:00,-3.708023145209566,99724.82771666089,-275.17228333910725,-3.708023145209566,1,1,0.0,0.0
41,2024-09-26 03:25:00,-16.23694239814249,99724.82771666089,-275.17228333910725,-16.23694239814249,1,1,0.0,0.0
42,2024-09-26 03:30:00,-18.921710809506546,99724.82771666089,-275.17228333910725,-18.921710809506546,1,1,0.0,0.0
43,2024-09-26 03:35:00,-39.63129839638107,99685.1964182645,-314.8035817354883,-9.96851964182645,-1,0,-39.63129839638107,19.942996713163858
